CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,86774,88772,107492,77197,83955,81829
Externos,54146,56322,39638,45195,42245,39500
Seminternos,26049,25977,63897,27974,37015,38511
Internos,6579,6473,3957,4028,4695,3818
Preescolar,4510,4629,5033,4308,4263,4038
Externos,3961,4055,4446,3757,3415,3432
Seminternos,549,574,587,551,848,603
Internos,,,,,,
Primaria,35182,35454,35560,35354,34336,32700
Externos,24645,24563,24578,24544,23734,22582
Seminternos,10537,10891,10982,10810,10597,10118
Internos,,,,5,,
Media,32104,31109,31177,32710,31631,30654
Externos,15713,14862,14467,12851,10687,8882
Seminternos,12351,12588,12968,15993,17960,18871
Internos,4040,3659,3742,3866,3684,2901
Adultos,3829,4075,3696,4036,3721,3619
Externos,3829,4075,3696,4036,3721,3619
Seminternos,,,,,,
Internos,,,,,,
Especial,1503,1496,1413,1329,1310,1250
Externos,249,187,121,137,145,173
Seminternos,980,1068,1077,986,971,883
Internos,274,241,215,206,194,194
Superior,9810,12009,,13458,11888,9577
Externos,5913,8580,,8912,7401,6074
Seminternos,1632,856,,2291,1448,1400
Internos,2265,2573,,2255,3039,2103
