3,RAMAS DE LA CIENCIA, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21, 2021/22
6,Total,468458,449648,372171,286744,214121,161103,122597,100664,98816,134671,137687,150701,164608,187036,187807
7,   Ciencias técnicas,15906,17467,15807,14651,13634,14851,12230,11529,11161,11315,11078,11184,11304,12183,11974
8,   Ciencias naturales y matemáticas,1802,1956,2181,2189,2274,2396,2380,2439,2457,2531,2494,2521,2678,2584,2811
9,   Ciencias agropecuarias,4976,5470,4576,3504,3173,2842,2737,2406,2442,4272,4496,5208,5600,7384,7562
10,   Ciencias económicas,57189,54529,39386,32709,25855,18223,12356,9043,8123,12164,12434,13256,14130,16519,17353
11,   Ciencias sociales y humanísticas,135612,129737,97206,77236,53760,35945,24025,15811,12810,15450,15117,16463,17704,20367,22482
12,   Ciencias Pedagógicas,86386,78956,63793,43337,29302,21054,14737,12903,14488,35627,34463,37277,43578,53463,53786
13,   Ciencias médicas,141480,140221,132017,100375,78991,61757,50237,43791,44756,48854,52387,58871,62840,66891,64077
14,   Ciencias de la Cultura física y el Deporte,24295,20053,16643,11997,6377,3226,3047,1932,1731,3616,4430,5133,5979,6974,6933
15,   Ciencias del Arte,750,792,562,746,755,809,848,810,848,842,788,788,795,671,829
16,  Facultad Preparatoria,62,467,-,-,-,-,-,-,-,-,-,-,-,-,-
