3,CONCEPTO,1998,1999.0,2000.0,2001.0,2002,2003,2004.0,2005,2006.0,2007.0,2008.0,2009.0,2010.0,2011,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018,2019.0,2020.0,2021,2022
7,Total,4573.1,4650.3,4631.5,4696.7,4714.3,4716.6,4729.4,4816.4,4847.3,4956.3009999999995,5027.9,5072.400000000001,5112.5,5010.1,5077.900000000001,5086.0,5105.5,4832.700000000001,4686.2,4550.0,4559.1,4642.299999999999,4709.953800000001,-,4590.60410817121
8,  Primario o menos,783.1,780.9,745.8,704.6,670,598.4,567.5,514.7,478.1,396.7,401.0,362.2,341.1,317.7,256.40000000000003,264.5,261.0,244.39999999999998,220.20000000000002,215.0,201.1,193.0,195.23990416753583,-,140.5984657267755
9,  Secundario,1400.6,1449.1,1416.5,1423.6,1435.5,1425.6,1409.5,1443.9,1346.2,1353.9,1353.4,1264.5,1229.3,1198.8,1139.4,1103.1,1106.3999999999999,1128.1,1115.5,995.9000000000001,993,987.6,999.4669736111898,-,941.3967893151823
10,  Medio superior,1791,1855.2,1867.8,1938.2,1975.6,2032.4,2085.3,2195.7,2357.3,2476.2,2545.9,2673.6000000000004,2733.2,2527.6000000000004,2696.5,2653.4,2631.6000000000004,2391.1,2310.8,2334.1000000000004,2366.2,2435.6,2471.278803337238,-,2417.098380495717
11,  Superior,598.4,565.1,601.4,630.3,633.2,660.2,667.1,662.1,665.7,729.501,727.5999999999999,772.1,808.9000000000001,966,985.5999999999999,1065.0,1106.5,1069.1,1039.7,1005.0,998.8,1026.1,1043.9681188840373,-,1091.5104726335355
12,,Mujeres,,,,,,,,,,,,,,,,,,,,Mujeres,,,,
13,Total,1673.1,1709.7,1700.0,1696.6,1710.6,1719.6,1724.0,1762.9,1808.8999999999999,1887.0069999999998,1912.8000000000002,1934.1000000000001,1953.3000000000002,1876.3,1870.3,1906.2,1908.1,1810.6,1747.7,1694.5,1689.7,1812.1,1853.7052533722003, -,1742.92842296886
14,  Primario o menos,189.4,194.8,186.3,164.6,155.2,129.7,130.5,115.8,107.6,82.7,85.7,69.0,64.6,55.9,23.6,46.6,44.2,42.3,36.4,37.5,33.4,33.7,34.47374153669397, -,22.56787349523566
15,  Secundario,416.9,435.4,413.5,406.9,400.5,382.4,381.5,378,365.5,371.9,374.5,336.1,305.2,280.9,255.8,238.1,233.6,240.1,239.2,198.3,191.4,201.9,206.53556131330896, -,187.82831071785245
16,  Medio superior,785.8,820.1,807.6,822.0,848.3,884.3,886.2,948.1,1006.5,1070.8,1086.7,1128.7,1156.4,1015.2,1051.1,1025.2,1007.2,927.9,872.6,881.8,893.4,964.1,986.2354366625123, -,907.3867581402138
17,  Superior,281,259.4,292.6,303.1,306.6,323.2,325.8,321,329.3,361.607,365.9,400.3,427.1,524.3,539.8,596.3,623.1,600.3,599.5,576.9,571.5,612.4,626.4605138596852, -,625.1454806155581
18,,,,,,,Hombres,,,,,,,,,,,,,,,Hombres,,,,
19,Total,2900.0000000000005,2940.6,2931.5,3000.1,3003.7,2997,3005.4,3053.5,3038.4,3069.294,3115.1,3138.3,3159.2,3133.8,3099.6,3207.6000000000004,3179.8,3197.4,3022.1000000000004,2855.5,2869.4,2830.2,2856.2485466278004, -,2847.67568520235
20,  Primario o menos,593.7,586.1,559.5,540.0,514.8,468.7,437.0,398.9,370.5,314.0,315.3,293.2,276.5,261.8,260.9,232.8,217.9,216.8,202.1,177.5,167.7,159.3,160.76616263084185, -,118.03059223153983
21,  Secundario,983.7,1013.7,1003.0,1016.7,1035,1043.2,1028.0,1065.9,980.7,982.0,978.9,928.4,924.1,917.9,875.3,883.6,865.0,872.8,888.0,797.6,801.6,785.7,792.9314122978809, -,753.5684785973299
22,  Medio superior,1005.2,1035.1,1060.2,1116.2,1127.3,1148.1,1199.1,1247.6,1350.8,1405.4,1459.2,1544.9,1576.8,1512.4,1521.9,1645.4,1628.2,1624.4,1463.2,1452.3000000000002,1472.8,1471.5,1485.0433666747256, -,1509.711622355503
23,  Superior,317.4,305.7,308.8,327.2,326.6,337,341.3,341.1,336.4,367.894,361.7,371.8,381.8,441.7,441.5,445.8,468.7,483.4,468.8,428.09999999999997,427.3,413.7,417.507605024352, -,466.36499201797744
