3,CONCEPTO,  1985/86,  1986/87,  1987/88,  1988/89,  1989/90,  1990/91,  1991/92,  1992/93,  1993/94,  1994/95,  1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,  2012/13,  2013/14,  2014/15,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
6,Total,297579,295070,280136,281854,265773,272749,238562,223101,221858,207652,201995,220154,213799,223676,244215,240599,252786,252511,249622,279805,289378,317753,338308,334540,317254,280293,270771,248368,234274,211539,,Total,270771,248368,234274,211539,197630,190581,186690,181608,172840,177608,193192
7, Primaria,95828,88773,85631,75026,67595,66286,60452,61576,71967,72518,75034,84966,76218,81079,84431,85159,85375,76946,72626,69908,64852,67918,63473,68550,68233,67540,63564,62261,67199,65455,, Primaria,63564,62261,67199,65455,58733,54311,48222,51546,52923,56188,56706
8, Media,151642,161648,150172,167122,157695,162364,137069,123273,114884,99106,93191,103929,106669,109477,124085,121354,133013,138254,136677,138928,145196,141666,160679,132207,125834,118316,122784,119872,123801,114553,,  Urbana,49922,49713,52361,51064,45687,43066,38160,40885,42477,44860,45596
9,  Secundaria básica,81572,91461,84533,80714,76097,74605,62946,55888,52060,48905,49416,60433,64610,66709,77174,70227,75907,78989,80540,79784,75883,70881,68644,65858,65201,61339,66421,65374,64844,61428,,  Rural,13642,12548,14838,14391,13046,11245,10062,10661,10446,11328,11110
10,  Preuniversitario,24364,25466,28148,37478,38914,39460,36606,34413,27315,17402,13653,14461,14143,15951,19716,21363,22983,25893,23882,25373,31007,30455,55531,36629,29467,29907,31847,27701,27575,29133,, Media,122784,119872,123801,114553,111763,107054,108609,102066,95086,94349,99682
11,  Técnica y profesional,38601,36201,26955,42184,35204,40704,35655,29179,33117,31531,29696,28695,27916,26817,27195,29764,34123,33372,32255,33771,38306,40330,36504,28346,29123,25375,22618,24234,26046,18656,,  Secundaria básica,66421,65374,64844,61428,59389,57807,58957,55325,51297,48721,48233
12,    Técnico medio,34174,33678,24448,39390,33193,...,33780,26935,29335,26964,25487,23376,21217,20254,20118,23672,28502,29514,29429,30699,36490,38999,34508,26573,27514,23794,19397,14257,16369,8429,,     De ello: En el campo,5700,5040,4924,4540,4273,4200,4216,3770,3548,2983,2999
13,    Obrero Calificado (a),4427,2523,2507,2794,2011,...,1875,2244,3782,4567,4209,5319,6699,6563,7077,6092,5621,3858,2826,3072,1816,1331,1996,1773,1609,1581,3221,9977,9677,10227,,  Preuniversitario,31847,27701,27575,29133,29459,27770,27149,27351,27272,26656,24530
14,  Formación de personal pedagógico,7105,8520,10536,6746,7480,7595,1862,3793,2392,1268,426,340,                 -,                 -,-,-,-,-,-,-,-,-,-,1374,2043,1695,1898,2563,5336,5336,,     De ello: En el campo,3399,2496,2615,2932,3057,3038,3099,3076,3250,3043,2452
15, Escuela de Trabajadores Sociales,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,4391,4460,1276,4651,4884,693,-,-,-,-,-,-,-,,  Técnica y profesional,22618,24234,26046,18656,19066,18345,19376,16163,13006,14706,22548
16, Especial,604,801,882,848,952,1428,914,1289,1438,1172,1343,1282,1442,1367,1463,1352,1298,1490,1628,1758,1812,1825,1802,1729,1952,1635,1722,1993,1765,2138,,    Técnico medio,19397,14257,16369,8429,10978,10908,13735,11384,10363,12762,20983
17, Adultos,37242,28106,26863,20612,19812,19817,18835,16926,15416,16124,16861,16707,18197,20943,23169,22005,21401,19729,21561,52807,51158,72399,63275,87301,62830,38981,25357,18376,8729,9304,,       Ministerio de Educación ,17876,12530,13629,4708,6312,6509,8099,7501,7299,9703,18366
18, Superior ,12263,15742,16588,18246,19719,22854,21292,20037,18153,18732,15566,13270,11273,10810,11067,10729,11699,11701,12670,15128,21709,29061,48386,44753,58405,53821,57344,45866,32780,20089,,      Otros organismos,1521,1727,2740,3721,4666,4399,5636,3883,3064,3059,2617
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    Obrero calificado,3221,9977,9677,10227,8088,7437,5641,4779,2643,1944,1565
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      Ministerio de Educación (a),3159,9812,9634,10089,7957,7236,5582,4685,2571,1848,1538
21,(a) Incluye las Escuelas de Oficios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      Otros organismos,62,165,43,138,131,201,59,94,72,96,27
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   Formación del personal pedagógico,1898,2563,5336,5336,3849,3132,3127,3227,3511,4266,4371
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Especial,1722,1993,1765,2138,1930,1878,1801,1847,1861,1733,1654
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Adultos,25357,18376,8729,9304,10704,12103,14148,12411,9232,3418,8641
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Educación obrero campesina ,414,298,198,294,326,575,389,342,63,84,85
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Secundaria obrero campesina,1717,963,1250,1305,1176,1367,1283,1031,424,430,675
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Facultad obrero campesina,20330,14304,4943,4839,6699,7690,9617,8482,7965,1478,6401
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Idiomas,2896,2811,2338,2866,2503,2471,2859,2556,780,1426,1480
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Superior,57344,45866,32780,20089,14500,15235,13910,13738,13738,21920,26509
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   Ministerio de Educación Superior,22407,19610,13617,9011,8110,8582,8134,7022,7022,14023,15725
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   Ministerio de Educación,10585,8480,3361,844,123,-,-,-,…,…,…
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   Ministerio de Salud Pública,20288,17115,14943,9583,6032,6471,5594,6534,6534,7753,10636
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   Otros organismos,4064,661,859,651,235,182,182,182,182,144,148
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(a) Incluye las escuelas de oficios.,,,,,,,,,,,
