3,GRUPOS DE ESPECIALIDADES, 1985/ 86, 1986/ 87, 1987/ 88, 1988/ 89, 1989/ 90, 1990/ 91, 1991/92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16,  2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
6,Total,327299,339921,360233,348917,332069,320211,315007,314873,288322,248281,243061,211761,242682,254800,277798,301152,309738,299640,315219,331807,314688,321276,302511,280503,264458,238921,210489,209390,201996,189131,197581,194665,192086,191431,193916,184781,183371
7, Técnico medio,261874,283081,300847,296266,285835,275789,271002,259862,229393,197787,182096,169448,179104,190798,212898,238257,254080,269491,288489,302111,287796,289381,271712,254538,234425,197856,136794,114497,109500,103018,119486,125277,134019,141676,152364,158779,152500
8,"   Geología, minería y metalurgia",6600,5281,5691,4775,4753,4455,4471,4015,3488,2722,2456,2293,2352,2418,2518,2767,2455,2307,2051,1330,714,1461,1347,2071,2646,2640,2204,1948,1508,1748,2238,2582,3081,3106,3083,3113,2796
9,   Energética,12645,14824,18590,18554,18127,18611,18407,18253,15358,12678,11161,9956,10817,11448,12439,12904,12487,11470,10618,7250,4682,8543,8905,8985,9152,7835,5820,4557,4619,4013,4818,5212,5727,5951,6384,6852,6613
10,   Construcción de maquinarias,24065,27243,32018,31327,30754,29293,28478,26426,22209,17810,15531,14719,16229,17842,19594,21264,19804,18122,16489,26806,29812,14811,14427,13847,14057,11701,7896,6582,5715,4601,5646,5921,6976,7589,8301,9100,8688
11,"   Industrias azucarera, química y alimenticia",10333,12033,11442,11033,9775,9174,8884,9377,9425,8500,8304,7519,6994,6816,7379,7724,6970,5860,4985,7201,5834,5915,7469,8271,9077,7096,5933,4281,2222,1709,1859,2292,3591,4538,5142,5896,6284
12,"   Electrónica, automatización y comunicaciones",7704,7808,8429,8566,8594,8990,9371,9994,9454,8488,7986,7384,8160,8970,9056,9965,9130,8370,7944,5672,3714,7044,6878,6081,6181,5256,4047,3191,2333,1375,1391,1192,1974,2832,3519,4103,3659
13,   Transporte,10336,12172,12573,13069,13666,13331,13080,13156,11625,9320,7993,6713,6995,7371,8819,10201,10218,10064,9780,8467,5704,9610,11354,11314,11921,9609,6260,5064,5354,4808,5677,5724,6146,6493,6287,6005,5863
14,   Construcción,14560,21188,28093,29791,30709,32002,33651,31182,25861,18033,15271,11248,12374,14180,15487,17367,16823,15493,14174,13487,13652,14311,16468,17463,15622,14420,9450,7507,8300,6379,8149,8083,10960,12399,13895,15670,13995
15,   Producción agropecuaria,39309,43097,49308,48982,48118,48463,55094,60996,57423,48732,43684,42383,44807,46458,50960,53184,53206,50024,46539,39259,33248,36206,40480,43606,45605,40567,27370,25223,23209,16737,15492,13335,13804,14739,15517,16506,16887
16,   Economía,93220,98320,94250,84147,75263,68339,56995,63019,56039,38054,23593,24647,28974,35168,44045,53096,65654,81709,100039,110512,109821,112129,96626,86639,71290,60139,35365,23303,16927,11860,13212,15620,17084,19819,20973,21712,21546
17,   Salud ,24072,20156,20694,24408,22409,17453,14194,10607,11445,10863,11871,11826,12118,11747,11349,11554,13530,14790,11249,5195,-,-,-,-,-,-,-,8812,14385,22280,24602,22125,18853,13718,12414,9987,12329
18,   Arte,4660,4850,4702,4896,4879,4835,3085,4021,2499,2144,2219,2548,2879,2793,2739,2761,3545,6509,10874,13025,11591,9239,2000,1572,352,982,3210,3152,2825,3042,2944,2773,2889,3089,3298,3262,3701
19,   Otras,14370,16109,15057,16718,18788,20843,25292,8816,4567,20443,32027,28212,26405,25587,28513,35470,40258,44773,53747,63907,69024,70112,65758,54689,48522,37611,29239,20877,22103,24466,33458,40418,42934,47403,53551,56573,50139
20, Obrero calificado,65425,56840,59386,52651,46234,44422,44005,55011,58929,50494,60965,42313,63578,64002,64900,62895,55658,30149,26730,29696,26892,31895,30799,25965,30033,41065,73695,94893,92496,86113,78095,69388,58067,49755,41552,26002,30871
21,"   Geología, minería y metalurgia",298,162,202,151,153,200,191,188,145,96,93,121,125,118,129,99,62,55,35,22,26,59,45,44,50,32,96,33,29,29,12,7,-,50,50,-,-
22,   Energética,5134,1628,1622,1678,1583,1474,919,661,791,594,399,246,302,340,364,400,351,226,230,345,318,417,233,156,539,1378,3351,4579,3999,3554,3410,2847,2428,2307,1807,1292,940
23,   Construcción de maquinarias,13051,11092,10665,9747,9079,8040,7683,6658,5539,3650,5015,3359,4131,3669,4031,3732,3575,3383,3557,6662,7637,10121,7399,5471,3753,2977,5217,7851,9645,10397,8730,7399,4602,4004,3083,2493,2282
24,"   Industrias azucarera, química y alimenticia",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,313,162,273,207,119,47,26,16,519,2232,3630,2902,1814,1713,1254,911,790
25,"   Electrónica, automatización y comunicaciones",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5221,-,-,-,-,-,-,-,-,-,-
26,   Transporte,5391,4505,4541,3037,2699,2750,2907,2421,1625,1611,1845,1603,1644,1698,1745,1797,1842,1651,1551,3333,1455,573,483,149,819,2809,22618,7154,7491,7476,6187,5206,4134,3552,3361,2677,2130
27,   Construcción,13196,10506,12147,12012,9506,9442,9122,13557,19834,16420,22721,2219,18219,17942,19649,19740,21387,3668,3251,2798,2339,1939,1362,885,5850,13879,257,26534,22731,17692,16051,12105,9774,9111,6650,5607,5075
28,   Producción agropecuaria,5376,4131,2961,2643,1810,1520,1570,1464,1966,308,885,491,1218,501,55,117,74,25,9,756,-,248,-,349,2717,5367,15349,19915,15078,9510,7229,6701,5047,3394,2262,1938,2274
29,   Economía,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-
30,   Salud ,383,-,-,-,-,-,-,-,-,-,                 -,                 -,                 -,                 -,164,290,99,186,113,107,109,-,-,-,-,-,21560,382,786,1223,1464,1098,859,741,693,202,55
31,   Arte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-
32,   Otras (a),22596,24816,27248,23383,21404,20996,21613,30062,29029,27815,30007,34274,37939,39734,38763,36720,28268,20955,17984,15373,14695,18376,21004,18704,16186,14576,-,28412,32218,34000,31382,31123,29409,24883,22392,10882,17325
