4,RAMAS DE LA CIENCIA, 2006/07, 2007/08, 2008/09,2009/10,2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21
7,Total,29061,48386,44753,58405,53821,57344,45866,32780,20089,14500,13910,13738,21920,26509,26936
8,   Ciencias técnicas,1528,1752,1694,2182,2275,2412,2041,1903,1906,1951,1579,1454,1750,1832,1942
9,   Ciencias naturales y matemáticas,280,260,212,269,285,306,308,350,358,356,384,303,348,458,609
10,   Ciencias agropecuarias,259,263,217,311,322,809,551,493,446,353,397,312,355,519,997
11,   Ciencias económicas,1706,2221,2517,4820,4837,7566,5464,3700,1850,1310,1157,1166,1111,1323,2807
12,   Ciencias sociales y humanísticas,2029,3909,5151,11636,10122,12229,10636,6824,3828,2319,1468,1478,1535,2129,2961
13,   Ciencias Pedagógicas,16218,16543,12460,13444,12903,10585,9112,3607,1373,1741,2855,2084,8382,8125,5992
14,   Ciencias médicas,6226,19889,17714,20086,19105,20288,17115,14943,9583,6032,5594,6534,7753,10636,10698
15,   Ciencias de la Cultura física y el Deporte,698,3461,4689,5544,3910,3039,473,839,620,304,312,249,561,1362,822
16,   Ciencias del Arte,117,88,99,113,62,110,166,121,125,134,164,158,125,125,108
