CONCEPTOS,2016-2017,2017-2018,2018-2019,2019-2020,
Total,99284,98317,98114,99194,
Externos (Total),58941,52588,53175,59891,
Seminternos (Total),30962,36370,35598,29901,
Internos (Total),9381,9359,9341,9402,
Primaria (Total),41643,41973,42111,42457,
Externos (Primaria),23866,24127,23419,30388,
Seminternos(Primaria),17579,17579,18548,11925,
Internos(Primaria),198,267,144,144,
Media (Total),35111,33694,32271,31320,
Externos (Media),18323,13133,13847,13743,
Seminternos(Media),10930,15061,13323,12796,
Internos(Media),5858,5500,5101,4781,
Adultos (Total),5507,5538,4941,4573,
Externos (Adultos),5507,5538,4941,4573,
Especial (Total),2276,2131,2069,1984,
Externos (Especial),1770,385,362,320,
Seminternos(Especial),-,1282,1288,1237,
Internos(Especial),506,464,419,427,
Formacidén personal pedagdgico (Total),1314,1676,2235,2693,
Externos (Formacidén personal pedagdgico),144,187,-,25,
Seminternos (Formacidén personal pedagdgico),486,562,844,956,
Internos (Formacidén personal pedagdgico),684,927,1391,1712,
Curso de Lengua Espafola Historia y Matematica (Total),74,73,75,34,
Externos (Curso de Lengua Espafola Historia y Matematica),74,73,75,34,
Superior (Curso de Lengua Espafola Historia y Matematica),1359,13232,14412,16133,
Externos(Curso de Lengua Espafola Historia y Matematica),9257,9145,10531,10808,
Seminternos (Curso de Lengua Espafola Historia y Matematica),1967,1886,1595,2987,
Internos (Curso de Lengua Espafola Historia y Matematica),2135,2201,2286,2338,
