EDUCACIONES,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Total,692,705,716,721,727,737,
Primaria (Total),557,567,580,584,591,596,
Urbana,60,61,61,61,61,61,
Rural,497,506,519,523,530,535,
Media,91,94,92,92,91,91,
Secundaria basica (Total),54,57,56,58,57,57,
Urbana,38,41,40,42,42,42,
Rural,16,16,16,16,15,15,
Preuniversitario (Total),15,15,16,16,15,15,
Urbana,8,8,8,8,8,8,
Rural,6,6,7,7,6,6,
Ciencias exactas,1,1,1,1,1,1,
Técnica y profesional,22,22,20,18,19,19,
Centros politécnicos del Ministerio de Educacién,18,18,17,15,16,16
Centros politécnicos de otros organismos,3,3,2,2,2,2,
Escuelas de oficios,1,1,1,1,1,1,
Especial,21,21,21,21,21,21,
Formacion personal pedagogico,1,1,1,2,2,2,
Escuela de deportes,1,1,1,1,1,1,
Escuela de arte,1,1,2,2,2,2,
Adultos,17,17,17,17,17,22,
Educacién Obrero Campesina (EOC),1,1,1,1,1,-,
Secundaria Obrero Campesina (SOC),1,1,-,-,1,-,
Facultad Obrero Campesina (FOC),13,13,14,14,13,15,
Idiomas,2,2,2,2,2,7,
Superior,3,3,2,2,2,2,
Universidad de Guantanamo,1,1,1,1,1,1,
Ciencias Pedagdégicas,1,1,-,-,-,-,
Universidad de Ciencias Médicas,1,1,1,1,1,1,
