EDUCACIONES,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
Total,23694,24417,21646,20352,20420,18784
Primaria,6481,6642,6114,5563,5339,5138
Urbana,3754,3854,3700,3271,3217,3104
Rural,2664,2707,2347,2212,2044,1979
Escuela Integral de Deporte Escolar,28,38,22,15,29,6
Escuela Vocacional de Arte,35,43,45,65,49,49
Media,12777,11786,12428,11591,11707,10565
Secundaria basica,6492,6205,6341,6038,6246,5819
Urbana,5093,5242,5076,4919,5092,4772
Rural,1251,805,1092,976,954,867
Escuela Integral de Deporte Escolar,123,133,151,121,161,147
Escuela Vocacional de Arte,25,25,22,22,39,33
Preuniversitario,2207,2134,2388,2413,2441,2550
Urbana,1011,950,1338,1325,1330,1462
Rural,491,489,677,695,700,666
Ciencias exactas,328,314,314,322,340,322
Ciencias pedagdgicas,300,298,-,-,-,-
Escuela Integral de Deporte Escolar,77,83,59,71,71,100
Técnica y profesional,4078,3447,3699,3140,3020,2196
Centros politécnicos del Ministerio de Educacién,3959,3267,3565,2927,2634,1933
Escuelas de oficios,73,68,33,84,106,78
Otros organismos,46,112,101,129,280,185
Especial,364,523,365,307,304,258
Formacion personal pedagdégico,353,492,434,226,215,345
Adultos,679,776,1162,1527,1774,1397
Educacién Obrero Campesina (EOC),78,71,370,389,375,211
Secundaria Obrero Campesina (SOC),20,83,155,338,300,334
Facultad Obrero Campesina (FOC),463,458,421,571,628,607
Idiomas,118,164,216,229,471,245
Superior,3040,4198,1143,1138,1081,1081
Universidad de Guantanamo,1018,1248,498,494,489,489
Ciencias Pedagdgicas,709,519,-,-,-,-
Universidad de Ciencias Médicas,1313,2431,645,644,592,592
