CONCEPTOS,2017-2018,2018-2019,2019-2020
Total,8099,7774,8183
Técnico medio,7097,5758,6919
Geologia mineria y metalurgia,61,104,732,
Energética,149,243,302
Industrias azucarera quimica y alimenticia,124,136,137
Electronica automatizacién y comunicaciones,124,209,169
Transporte,136,366,1002
Construccién,353,720,340
Produccion agropecuaria,601,962,1125
Economia,541,892,850
Salud publica,822,863,-
Arte,213,100,-
Otras,3973,1163,2262
Obrero calificado,1002,2016,1264
Industrias azucarera quimica y alimenticia,34,398,178
Transporte,55,120,292
Construccién,135,737,405
Produccion agropecuaria,300,406,287
Otras,478,355,102
