EDUCACIONES,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
Total,46886,54889,50480,49868,50372,51670
Primaria,18403,19222,20297,20501,20591,20782
Urbana,10878,11261,11724,11932,12128,12144
Rural,7364,7850,8458,8438,8351,8514
Escuela Integral de Deporte Escolar,27,22,15,28,15,23
Escuela Vocacional de Arte,134,89,100,103,97,101
Media,18020,19607,17077,16394,15614,15148
Secundaria basica,10025,10601,9222,8669,8033,7637
Urbana,7916,8582,7580,7086,6603,6272
Rural,1885,1744,1396,1310,1188,1088
Escuela Integral de Deporte Escolar,180,205,189,195,161,186
Escuela Vocacional de Arte,44,70,57,78,81,91
Preuniversitario,4931,5642,4880,4973,5003,4716
Urbana,2566,2801,2630,2866,2938,2737
Rural,1400,1609,1447,1319,1238,1087
Ciencias exactas,684,742,704,678,718,778
Pedagdgicos,192,207,-,-,-,-
Escuela Integral de Deporte Escolar,89,283,99,110,109,114
Técnica y profesional,3064,3364,2975,2752,2578,2795
Centros politécnicos del Ministerio de Educacién,2882,3025,2550,2281,2160,2210
Escuelas de oficios,43,50,42,43,44,41
Centros politécnicos de otros organismos,139,289,383,428,374,544
Especial,782,808,704,683,672,648
Formacidén personal pedagdgico,1762,1338,1095,1301,1649,1806
Curso de Lengua Espafola Historia y Matematica,848,520,36,45,37,23
Adultos,1459,1907,2332,2300,2212,2328
Educacién Obrero Campesina (EOC),18,37,163,67,32,159
Secundaria Obrero Campesina (SOC),8,44,187,121,79,59 
Facultad Obrero Campesina (FOC),1056,1398,1597,1645,1661,1630
Idiomas,377,428,385,467,440,480
Superior,5612,11487,8939,8644,9597,10935
Universidad de Guantanamo,1556,3185,5623,5175,5866,7150
Ciencias Pedagdgicas,937,1918,-,-,-,-
Universidad de Ciencias Médicas,3119,6384,3316,3469,3731,3785
